,home_lon,home_lat,work_lon,work_lat,num_candi
0,4.99371842153018,52.138158340859206,5.0382139,52.1176478,1.0
1,5.007176511330139,52.1358655687065,5.0382139,52.1176478,0.0
2,4.98615036278979,52.1350769190394,5.0614447,52.0926798,6.0
3,5.08722271911768,52.135377209509,5.0852133,52.1259675,1.0
4,5.08780816131421,52.1351989363117,5.107431,52.1021586,18.0
5,5.08810268575891,52.134840162859,5.0587075,52.0922073,139.0
6,5.08898143139937,52.134482866781,5.1764199,52.0921971,342.0
7,5.08956685485956,52.1343045848114,5.0852133,52.1259675,0.0
8,5.09015227364961,52.1341262999267,5.189893,52.08616,409.0
9,5.090445578258509,52.13394727777389,5.189893,52.08616,409.0
10,5.09132428760267,52.1335899641562,5.0852133,52.1259675,0.0
11,5.09161639479512,52.13359069633061,5.0852133,52.1259675,1.0
12,5.092788377122321,52.1330543459365,5.118385,52.1211023,2.0
13,5.09308048084236,52.133055074481604,5.1212375,52.1195404,3.0
14,4.98529827847483,52.1323776024164,5.0382139,52.1176478,0.0
15,4.9855919909986905,52.1321988415664,5.0382139,52.1176478,0.0
16,5.0939603313074295,52.13251798382521,5.1212375,52.1195404,3.0
17,4.98384266465466,52.1318333506287,5.0382139,52.1176478,0.0
18,5.0948389844334105,52.1321606438896,5.0852133,52.1259675,0.0
19,4.98238545755604,52.131468836487706,5.0382139,52.1176478,0.0
20,5.0954255279169605,52.131802575368496,5.0852133,52.1259675,0.0
21,5.09571879613159,52.131623540003204,5.0852133,52.1259675,0.0
22,5.096302984988969,52.1316249818379,5.0852133,52.1259675,0.0
23,5.09688950970463,52.1312669059887,5.0852133,52.1259675,1.0
24,4.9931991594247,52.130786405942295,5.0382139,52.1176478,0.0
