"","auto","bike","walk","train"
"1",0.17,0.43,0.38,0.02
"2",0.17,0.43,0.38,0.02
"3",0.25,0.45,0.28,0.02
"4",0.26,0.48,0.24,0.02
"5",0.32,0.46,0.2,0.02
"6",0.35,0.45,0.18,0.02
"7",0.39,0.41,0.16,0.04
"8",0.38,0.3,0.12,0.2
