"","auto","bike","walk","train"
"1",0.22,0.63,0.15,0
"2",0.22,0.63,0.15,0
"3",0.3,0.6,0.1,0
"4",0.34,0.57,0.09,0
"5",0.43,0.51,0.06,0
"6",0.46,0.47,0.06,0.01
"7",0.54,0.4,0.05,0.01
"8",0.66,0.29,0.03,0.02
