country_code,postal_code,place_name,state_name,state_code,county_name,county_code,community_name,community_code,latitude,longitude,accuracy
NL,1092,Amsterdam,Noord-Holland,7,Amsterdam,363,,,52.3565,4.9228,6.0
NL,1093,Amsterdam,Noord-Holland,7,Amsterdam,363,,,52.3618,4.928,6.0
NL,1094,Amsterdam,Noord-Holland,7,Amsterdam,363,,,52.3626,4.936,6.0
NL,1095,Amsterdam,Noord-Holland,7,Amsterdam,363,,,52.3666,4.952,6.0
NL,1096,Amsterdam,Noord-Holland,7,Amsterdam,363,,,52.3387,4.9197,6.0
NL,1097,Amsterdam,Noord-Holland,7,Amsterdam,363,,,52.3465,4.9301,6.0
NL,1098,Amsterdam,Noord-Holland,7,Amsterdam,363,,,52.3529,4.9422,6.0
NL,1101,Amsterdam,Noord-Holland,7,Amsterdam,363,,,52.3083,4.9425,6.0
NL,1102,Amsterdam,Noord-Holland,7,Amsterdam,363,,,52.3166,4.9517,6.0
NL,1103,Amsterdam,Noord-Holland,7,Amsterdam,363,,,52.3231,4.9722,6.0
NL,1104,Amsterdam,Noord-Holland,7,Amsterdam,363,,,52.3164,4.9776,6.0
NL,1105,Amsterdam,Noord-Holland,7,Amsterdam,363,,,52.2977,4.9562,6.0
NL,1106,Amsterdam,Noord-Holland,7,Amsterdam,363,,,52.2991,4.9754,6.0
NL,1107,Amsterdam,Noord-Holland,7,Amsterdam,363,,,52.2932,4.9803,6.0
NL,1108,Amsterdam,Noord-Holland,7,Amsterdam,363,,,52.3082,4.9807,6.0
NL,1109,Amsterdam,Noord-Holland,7,Amsterdam,363,,,52.3059,5.0163,6.0
NL,1111,Diemen,Noord-Holland,7,Diemen,384,,,52.3434,4.9669,6.0
NL,1112,Diemen,Noord-Holland,7,Diemen,384,,,52.3316,4.9588,6.0
NL,1113,Diemen,Noord-Holland,7,Diemen,384,,,52.3487,4.9805,6.0
NL,1114,Amsterdam-Duivendrecht,Noord-Holland,7,Ouder-Amstel,437,,,52.32899999999999,4.9275,6.0
NL,1115,Duivendrecht,Noord-Holland,7,Ouder-Amstel,437,,,52.3315,4.9385,6.0
NL,1117,Schiphol,Noord-Holland,7,Haarlemmermeer,394,,,52.3107,4.8095,6.0
NL,1118,Schiphol,Noord-Holland,7,Haarlemmermeer,394,,,52.3017,4.7558,6.0
NL,1119,Schiphol-Rijk,Noord-Holland,7,Haarlemmermeer,394,,,52.2795,4.7548,6.0
NL,1121,Landsmeer,Noord-Holland,7,Landsmeer,415,,,52.4305,4.9144,6.0
NL,1127,Den Ilp,Noord-Holland,7,Landsmeer,415,,,52.4547,4.9093,6.0
NL,1131,Volendam,Noord-Holland,7,Edam-Volendam,385,,,52.498000000000005,5.0707,6.0
NL,1132,Volendam,Noord-Holland,7,Edam-Volendam,385,,,52.5024,5.0596,6.0
NL,1135,Edam,Noord-Holland,7,Edam-Volendam,385,,,52.5114,5.0522,6.0
NL,1141,Monnickendam,Noord-Holland,7,Waterland,852,,,52.4537,5.0365,6.0
NL,1145,Katwoude,Noord-Holland,7,Waterland,852,,,52.4734,5.0399,6.0
NL,1151,Broek in Waterland,Noord-Holland,7,Waterland,852,,,52.433,4.997,6.0
NL,1153,Zuiderwoude,Noord-Holland,7,Waterland,852,,,52.4317,5.0376,6.0
NL,1154,Uitdam,Noord-Holland,7,Waterland,852,,,52.4271,5.0738,6.0
NL,1156,Marken,Noord-Holland,7,Waterland,852,,,52.4596,5.106,6.0
NL,1161,Zwanenburg,Noord-Holland,7,Haarlemmermeer,394,,,52.3787,4.7437,6.0
NL,1165,Halfweg,Noord-Holland,7,Haarlemmermeer,394,,,52.3863,4.7505,6.0
NL,1171,Badhoevedorp,Noord-Holland,7,Haarlemmermeer,394,,,52.3388,4.7827,6.0
NL,1175,Lijnden,Noord-Holland,7,Haarlemmermeer,394,,,52.3532,4.757,6.0
NL,1181,Amstelveen,Noord-Holland,7,Amstelveen,362,,,52.31,4.8631,6.0
NL,1182,Amstelveen,Noord-Holland,7,Amstelveen,362,,,52.3097,4.8467,6.0
NL,1183,Amstelveen,Noord-Holland,7,Amstelveen,362,,,52.3095,4.8773,6.0
NL,1184,Amstelveen,Noord-Holland,7,Amstelveen,362,,,52.2982,4.8958,6.0
NL,1185,Amstelveen,Noord-Holland,7,Amstelveen,362,,,52.294,4.8531,6.0
NL,1186,Amstelveen,Noord-Holland,7,Amstelveen,362,,,52.2859,4.8667,6.0
NL,1187,Amstelveen,Noord-Holland,7,Amstelveen,362,,,52.2811,4.8269,6.0
NL,1188,Amstelveen,Noord-Holland,7,Amstelveen,362,,,52.2804,4.8502,6.0
NL,1189,Amstelveen,Noord-Holland,7,Amstelveen,362,,,52.2594,4.8715,6.0
